,OBJECTID,HSISID,NAME,ADDRESS1,CITY,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,PERMITID,X,Y,GEOCODESTATUS,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone
549,1892360,4092013743,Shaba Shabu,3080 Wake Forest Rd ,RALEIGH,27609,19195017755,2002-12-31,5355,-78.62038753,35.82333592,M,Xa0qNKwwjkYrzx4ePPe9Eg,shabashabu-raleigh-2,ShabaShabu,https://s3-media0.fl.yelpcdn.com/bphoto/I1O6aFAhKwGZYMyLWhVr5A/o.jpg,False,https://www.yelp.com/biz/shabashabu-raleigh-2?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,357,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",3.5,"{'latitude': 35.8240606, 'longitude': -78.6217491}","['pickup', 'delivery']",$$,"{'address1': '3080 Wake Forest Rd', 'address2': '', 'address3': '', 'city': 'Raleigh', 'zip_code': '27609', 'country': 'US', 'state': 'NC', 'display_address': ['3080 Wake Forest Rd', 'Raleigh, NC 27609']}",19195017755,(919) 501-7755
550,1892364,4092017554,KIWI CAFE AND SMOOTHIES,11211 GALLERIA AVE ,RALEIGH,27614,19195705001,2017-03-15,5374,-78.54331441,35.94865826,M,HwY6Q2e5uaCh8ATivLPwoA,kiwi-cafe-and-smoothies-raleigh,Kiwi Cafe & Smoothies,https://s3-media0.fl.yelpcdn.com/bphoto/jJDnFpTxol7357kLb4itjw/o.jpg,False,https://www.yelp.com/biz/kiwi-cafe-and-smoothies-raleigh?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,56,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",4.0,"{'latitude': 35.9486236, 'longitude': -78.5433666}","['pickup', 'delivery']",$,"{'address1': '11211 Galleria Ave', 'address2': 'Ste 103', 'address3': '', 'city': 'Raleigh', 'zip_code': '27614', 'country': 'US', 'state': 'NC', 'display_address': ['11211 Galleria Ave', 'Ste 103', 'Raleigh, NC 27614']}",19195705001,(919) 570-5001
551,1892366,4092018299,YOUR PIE CARY,685 CARY TOWNE BLVD ,CARY,27511,19193789578,2020-01-23,5402,-78.76677132,35.77674815,M,r4lJEp40iyBZrTmUWqvIRg,your-pie-cary-2,Your Pie,https://s3-media0.fl.yelpcdn.com/bphoto/2HGmz5y-8RO7fC-xI11uDw/o.jpg,False,https://www.yelp.com/biz/your-pie-cary-2?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,122,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",4.0,"{'latitude': 35.7758342, 'longitude': -78.766587}","['pickup', 'delivery']",$,"{'address1': '685 Cary Towne Blvd', 'address2': '', 'address3': None, 'city': 'Cary', 'zip_code': '27511', 'country': 'US', 'state': 'NC', 'display_address': ['685 Cary Towne Blvd', 'Cary, NC 27511']}",19193789578,(919) 378-9578
552,1892368,4092011235,Olive Garden,4805 Capital Blvd,RALEIGH,27616-4483,19199548557,1993-03-09,5420,-78.58156068,35.85089434,M,YNIQSyX3UiUM79HADF-74g,olive-garden-italian-restaurant-raleigh-3,Olive Garden Italian Restaurant,https://s3-media0.fl.yelpcdn.com/bphoto/pzwPfoAnlfZc_iJDlzS5gQ/o.jpg,False,https://www.yelp.com/biz/olive-garden-italian-restaurant-raleigh-3?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,140,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'soup', 'title': 'Soup'}]",3.0,"{'latitude': 35.8510034, 'longitude': -78.58149551206995}",[],$$,"{'address1': '4805 Capital Blvd', 'address2': '', 'address3': '', 'city': 'Raleigh', 'zip_code': '27616', 'country': 'US', 'state': 'NC', 'display_address': ['4805 Capital Blvd', 'Raleigh, NC 27616']}",19199548557,(919) 954-8557
553,1892370,4092018311,China Wok,2720 Lake Wheeler RD ,RALEIGH,27603,19198213038,2020-01-28,5437,-78.68034061,35.74405959,M,Ftkm1_WemgRGWvSq5UPvtw,china-wok-raleigh,China Wok,https://s3-media0.fl.yelpcdn.com/bphoto/wlamZ1FurB13LeFmo_v4Pg/o.jpg,False,https://www.yelp.com/biz/china-wok-raleigh?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,11,"[{'alias': 'chinese', 'title': 'Chinese'}]",2.5,"{'latitude': 35.7440491, 'longitude': -78.6803436}",['pickup'],$,"{'address1': '2720 Lake Wheeler Rd', 'address2': 'Ste 109', 'address3': '', 'city': 'Raleigh', 'zip_code': '27603', 'country': 'US', 'state': 'NC', 'display_address': ['2720 Lake Wheeler Rd', 'Ste 109', 'Raleigh, NC 27603']}",19198213038,(919) 821-3038
554,1892372,4092013151,Whole Foods Market Deli-Sushi-Cheese,102 B New Waverly Pl ,CARY,27511,19198168830,2000-05-05,5448,0.0,0.0,U,RTP_ijR2KsRcZ-agCZeAnA,whole-foods-market-cary-4,Whole Foods Market,https://s3-media0.fl.yelpcdn.com/bphoto/OzXf_MEaqE7B33SL9oGwog/o.jpg,False,https://www.yelp.com/biz/whole-foods-market-cary-4?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,115,"[{'alias': 'grocery', 'title': 'Grocery'}]",3.5,"{'latitude': 35.737361, 'longitude': -78.777234}",[],$$,"{'address1': '102B New Waverly Pl', 'address2': '', 'address3': '', 'city': 'Cary', 'zip_code': '27518', 'country': 'US', 'state': 'NC', 'display_address': ['102B New Waverly Pl', 'Cary, NC 27518']}",19198168830,(919) 816-8830
555,1892373,4092015058,Bojangles #39,1581 E Williams ST ,APEX,27502,19193626796,2008-02-01,5473,-78.83501432,35.70601048,M,qmafds6zX0oaDDB7sV2g_A,bojangles-apex,Bojangles,https://s3-media0.fl.yelpcdn.com/bphoto/sYqz_FqIh3x7o8l-CYC_sQ/o.jpg,False,https://www.yelp.com/biz/bojangles-apex?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,34,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",2.5,"{'latitude': 35.705977, 'longitude': -78.835126}",['delivery'],$,"{'address1': '1581 E Williams St', 'address2': None, 'address3': None, 'city': 'Apex', 'zip_code': '27539', 'country': 'US', 'state': 'NC', 'display_address': ['1581 E Williams St', 'Apex, NC 27539']}",19193626796,(919) 362-6796
556,1892374,4092013907,Jason's Deli,909 Spring Forest Rd,RALEIGH,27609,19198559898,2003-10-06,5487,-78.62312587,35.86765935,M,qQ_xOXEZBQgRM6WG0RGhqA,jasons-deli-raleigh,Jason's Deli,https://s3-media0.fl.yelpcdn.com/bphoto/W6hLWHsbvLCwhCPw1b_e4A/o.jpg,False,https://www.yelp.com/biz/jasons-deli-raleigh?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,73,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'delis', 'title': 'Delis'}, {'alias': 'salad', 'title': 'Salad'}]",3.5,"{'latitude': 35.86766, 'longitude': -78.62313}","['pickup', 'delivery']",$,"{'address1': '909 Spring Forest Rd', 'address2': '', 'address3': '', 'city': 'Raleigh', 'zip_code': '27609', 'country': 'US', 'state': 'NC', 'display_address': ['909 Spring Forest Rd', 'Raleigh, NC 27609']}",19198559898,(919) 855-9898
557,1892375,4092017662,CULVER'S OF WAKE FOREST,2819 ROGERS RD ,WAKE FOREST,27587,19194351053,2017-08-14,5495,-78.52437345,35.95309222,M,ro5Tg7CCS8o-i7A6b0CVdQ,culvers-wake-forest,Culver's,https://s3-media0.fl.yelpcdn.com/bphoto/CYdTLkgnsFuyOqMVdCgmyw/o.jpg,False,https://www.yelp.com/biz/culvers-wake-forest?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,106,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",3.5,"{'latitude': 35.953052520752, 'longitude': -78.5245590209961}",[],$,"{'address1': '2819 Rogers Rd', 'address2': '', 'address3': None, 'city': 'Wake Forest', 'zip_code': '27587', 'country': 'US', 'state': 'NC', 'display_address': ['2819 Rogers Rd', 'Wake Forest, NC 27587']}",19194351053,(919) 435-1053
558,1892376,4092017340,BURGER KING #1094,6300 Capital BLVD ,RALEIGH,27616-3048,19198726307,2016-10-17,5496,-78.57966996,35.87091963,M,OaiwVghIhlexfkey0hGmcQ,burger-king-raleigh-19,Burger King,https://s3-media0.fl.yelpcdn.com/bphoto/Kth-ywzjtFA_amyINk2G8Q/o.jpg,False,https://www.yelp.com/biz/burger-king-raleigh-19?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,18,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",2.0,"{'latitude': 35.8708594, 'longitude': -78.579701}",['delivery'],$,"{'address1': '6300 Capital Blvd', 'address2': None, 'address3': None, 'city': 'Raleigh', 'zip_code': '27616', 'country': 'US', 'state': 'NC', 'display_address': ['6300 Capital Blvd', 'Raleigh, NC 27616']}",19198726307,(919) 872-6307
559,1892377,4092016625,CILANTRO INDIAN CAFE',107 EDINBURGH SOUTH DR ,CARY,27511,19192341264,2014-02-21,5497,-78.79792507,35.7367619,M,qeeeYc6CSmvZkdWerAd_6w,cilantro-indian-cafe-cary-2,Cilantro Indian Cafe,https://s3-media0.fl.yelpcdn.com/bphoto/Pv0IWo1L-YyEfeYWk5Lk5A/o.jpg,False,https://www.yelp.com/biz/cilantro-indian-cafe-cary-2?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,335,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.5,"{'latitude': 35.736772, 'longitude': -78.798673}","['delivery', 'pickup']",$$,"{'address1': '107 Edinburgh South Dr', 'address2': 'Suite,107', 'address3': '', 'city': 'Cary', 'zip_code': '27511', 'country': 'US', 'state': 'NC', 'display_address': ['107 Edinburgh South Dr', 'Suite,107', 'Cary, NC 27511']}",19192341264,(919) 234-1264
560,1892378,4092016331,SUBWAY #55675,234 FAYETTEVILLE  ST ,RALEIGH,27601,19196152670,2012-12-21,5500,-78.63956988,35.77712711,M,1NRamdRE99LZc6gO_J98xg,subway-raleigh-65,Subway,https://s3-media0.fl.yelpcdn.com/bphoto/yDAaRH_mLIrasVMpPXlqmQ/o.jpg,False,https://www.yelp.com/biz/subway-raleigh-65?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,1,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]",1.0,"{'latitude': 35.7770888484157, 'longitude': -78.6395026359795}","['pickup', 'delivery']",,"{'address1': '234 Fayetteville St', 'address2': None, 'address3': None, 'city': 'Raleigh', 'zip_code': '27601', 'country': 'US', 'state': 'NC', 'display_address': ['234 Fayetteville St', 'Raleigh, NC 27601']}",19196152670,(919) 615-2670
561,1892382,4092017722,Chopt North Ridge,6004 Falls of Neuse RD ,RALEIGH,27609,19842320451,2017-11-03,5549,-78.61995347,35.86546488,M,rT-qZEI3aQptlb3sGqdCFQ,chopt-creative-salad-co-raleigh-4,Chopt Creative Salad Co.,https://s3-media0.fl.yelpcdn.com/bphoto/5uP2Y3HdnP_J3RMTO-Im_A/o.jpg,False,https://www.yelp.com/biz/chopt-creative-salad-co-raleigh-4?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,84,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",3.5,"{'latitude': 35.865465, 'longitude': -78.619954}","['pickup', 'delivery']",$$,"{'address1': '6004 Falls Of Neuse Rd', 'address2': 'Ste 102', 'address3': None, 'city': 'Raleigh', 'zip_code': '27609', 'country': 'US', 'state': 'NC', 'display_address': ['6004 Falls Of Neuse Rd', 'Ste 102', 'Raleigh, NC 27609']}",19842320451,(984) 232-0451
562,1892383,4092014556,KFC #J120098,12313 Capital BLVD ,RALEIGH,27587,19195569408,2006-04-24,5507,-78.53878491,35.98231024,M,-jQHkCa6WWuW82g6aSBofw,kfc-wake-forest,KFC,https://s3-media0.fl.yelpcdn.com/bphoto/u1JhprOKPCJ8BgDOjqRgKA/o.jpg,False,https://www.yelp.com/biz/kfc-wake-forest?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,13,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]",1.5,"{'latitude': 35.98270619809509, 'longitude': -78.53908545213221}","['pickup', 'delivery']",$,"{'address1': '12313 Capital Blvd', 'address2': '', 'address3': '', 'city': 'Wake Forest', 'zip_code': '27587', 'country': 'US', 'state': 'NC', 'display_address': ['12313 Capital Blvd', 'Wake Forest, NC 27587']}",19195569408,(919) 556-9408
563,1892390,4092013291,Biscuitville # 169,605 STELLATA DR ,FUQUAY VARINA,27526-1946,19195776380,2001-03-01,5580,-78.78197965,35.59136738,M,G4LWU4i9P_n2pc2o-ilxvA,biscuitville-fuquay-varina-2,Biscuitville,https://s3-media0.fl.yelpcdn.com/bphoto/fHay83PwdJ03xriAeQwhlQ/o.jpg,False,https://www.yelp.com/biz/biscuitville-fuquay-varina-2?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,20,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",3.5,"{'latitude': 35.591365814209, 'longitude': -78.781982421875}",['delivery'],$,"{'address1': '605 Stellata Dr', 'address2': '', 'address3': '', 'city': 'Fuquay Varina', 'zip_code': '27526', 'country': 'US', 'state': 'NC', 'display_address': ['605 Stellata Dr', 'Fuquay Varina, NC 27526']}",19195776380,(919) 577-6380
564,1892391,4092013297,Willow Creek Exxon,1133 OLD HONEYCUTT RD ,FUQUAY VARINA,27526-8923,19195776361,2001-03-08,5581,-78.75761891,35.58333571,M,P7zloOZFilYJTQybZarx-A,exxon-fuquay-varina,Exxon,https://s3-media0.fl.yelpcdn.com/bphoto/z3C8jZti_F9vS9M1T5loBA/o.jpg,False,https://www.yelp.com/biz/exxon-fuquay-varina?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,3,"[{'alias': 'servicestations', 'title': 'Gas Stations'}]",3.0,"{'latitude': 35.5834357762477, 'longitude': -78.757748901844}",[],,"{'address1': '1133 Old Honeycutt Rd', 'address2': '', 'address3': '', 'city': 'Fuquay-Varina', 'zip_code': '27526', 'country': 'US', 'state': 'NC', 'display_address': ['1133 Old Honeycutt Rd', 'Fuquay-Varina, NC 27526']}",19195776361,(919) 577-6361
565,1892392,4092011465,Burger King #223,349 TRYON RD ,RALEIGH,27603-3529,19197725255,1994-03-22,5598,-78.65042032,35.73082159,M,omGWiMMI_zbwWszxac1Jqg,burger-king-raleigh-12,Burger King,https://s3-media0.fl.yelpcdn.com/bphoto/TrgAeuLb6BS1bK7qz5esLw/o.jpg,False,https://www.yelp.com/biz/burger-king-raleigh-12?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,14,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",2.0,"{'latitude': 35.730915, 'longitude': -78.650395}",['delivery'],$,"{'address1': '349 Tryon Rd', 'address2': '', 'address3': '', 'city': 'Raleigh', 'zip_code': '27603', 'country': 'US', 'state': 'NC', 'display_address': ['349 Tryon Rd', 'Raleigh, NC 27603']}",19197725255,(919) 772-5255
566,1892394,4092014039,Subway #12050,8711 Six Forks Rd,RALEIGH,27615,19196762610,2004-05-05,5617,-78.65461142,35.89932701,M,Gyi1BTqEcWUErjmA9oedKA,subway-raleigh-86,Subway,https://s3-media0.fl.yelpcdn.com/bphoto/ie9D-LTsurwnYuUmpoFyJg/o.jpg,False,https://www.yelp.com/biz/subway-raleigh-86?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,4,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]",3.5,"{'latitude': 35.8989783779483, 'longitude': -78.6529627675448}","['delivery', 'pickup']",$,"{'address1': '8711 Six Forks Rd', 'address2': 'Unit 101', 'address3': '', 'city': 'Raleigh', 'zip_code': '27615', 'country': 'US', 'state': 'NC', 'display_address': ['8711 Six Forks Rd', 'Unit 101', 'Raleigh, NC 27615']}",19196762610,(919) 676-2610
567,1892395,4092017695,Saltgrass Steakhouse,6601 Knightdale BLVD ,KNIGHTDALE,27545,19192177070,2017-10-10,5630,-78.50947971,35.79658276,M,EuW2eDN_x2CEkFAZc3qIpQ,saltgrass-steak-house-knightdale,Saltgrass Steak House,https://s3-media0.fl.yelpcdn.com/bphoto/lGcYXsr-_LUnIg5Wg6NrbQ/o.jpg,False,https://www.yelp.com/biz/saltgrass-steak-house-knightdale?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,69,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",3.5,"{'latitude': 35.7966242, 'longitude': -78.5093026}","['pickup', 'delivery']",$$,"{'address1': '6601 Knightdale Blvd', 'address2': '', 'address3': '', 'city': 'Knightdale', 'zip_code': '27545', 'country': 'US', 'state': 'NC', 'display_address': ['6601 Knightdale Blvd', 'Knightdale, NC 27545']}",19192177070,(919) 217-7070
568,1892396,4092013542,Chick-fil-A,11730 Retail Dr,WAKE FOREST,27587-7349,19195629004,2002-03-15,5637,-78.54275191,35.96706617,M,Q9SAr0r4sj8h6Ej09vzFAA,chick-fil-a-wake-forest-2,Chick-fil-A,https://s3-media0.fl.yelpcdn.com/bphoto/XqQI0tuFwQTx_T5PzvKGHw/o.jpg,False,https://www.yelp.com/biz/chick-fil-a-wake-forest-2?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,55,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]",4.0,"{'latitude': 35.9671305, 'longitude': -78.5427996}",[],$,"{'address1': '11730 Retail Dr', 'address2': '', 'address3': '', 'city': 'Wake Forest', 'zip_code': '27587', 'country': 'US', 'state': 'NC', 'display_address': ['11730 Retail Dr', 'Wake Forest, NC 27587']}",19195629004,(919) 562-9004
569,1892397,4092014223,Manchesters Bar and Grill,9101-153 Leesville Road,RALEIGH,27613,19196763310,2005-01-07,5626,-78.7231695,35.89661733,M,wAVblaY01WvYBWIaOyz7YA,manchesters-grill-raleigh,Manchester's Grill,https://s3-media0.fl.yelpcdn.com/bphoto/PtP0b_1lRNyPofQipj7y5A/o.jpg,False,https://www.yelp.com/biz/manchesters-grill-raleigh?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,108,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': 35.8974944919344, 'longitude': -78.7258225651362}",['delivery'],$$,"{'address1': '9101 Leesville Rd', 'address2': None, 'address3': None, 'city': 'Raleigh', 'zip_code': '27613', 'country': 'US', 'state': 'NC', 'display_address': ['9101 Leesville Rd', 'Raleigh, NC 27613']}",19196763310,(919) 676-3310
570,1892398,4092017608,MARISCOS NAYARIT,3351 CYPRESS PLANTATION TRL ,RALEIGH,27616,19199770168,2017-05-23,5665,-78.58237548,35.87315637,M,IgXmRuLXQSuTO2t77rI1wg,mariscos-nayarit-raleigh,Mariscos Nayarit,https://s3-media0.fl.yelpcdn.com/bphoto/ntEvOHUTzN3FY-lEs6rLSw/o.jpg,False,https://www.yelp.com/biz/mariscos-nayarit-raleigh?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,33,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.0,"{'latitude': 35.871276, 'longitude': -78.58255}",['delivery'],,"{'address1': '3351 Cypress Plantation Trl', 'address2': '', 'address3': None, 'city': 'Raleigh', 'zip_code': '27616', 'country': 'US', 'state': 'NC', 'display_address': ['3351 Cypress Plantation Trl', 'Raleigh, NC 27616']}",19199770168,(919) 977-0168
572,1892400,4092018443,Di Fara,111 E CHATHAM ST,CARY,27511,19196785300,2020-09-15,5673,-78.78052303,35.78769406,M,tkZEJFqj7NcxA6PUKLml-Q,di-fara-pizza-tavern-cary,Di Fara Pizza Tavern,https://s3-media0.fl.yelpcdn.com/bphoto/T_744LGGPNkjcXQu2HqAuQ/o.jpg,False,https://www.yelp.com/biz/di-fara-pizza-tavern-cary?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,73,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.0,"{'latitude': 35.78780451521831, 'longitude': -78.78062109661076}",[],,"{'address1': '111 E Chatham St', 'address2': '', 'address3': None, 'city': 'Cary', 'zip_code': '27511', 'country': 'US', 'state': 'NC', 'display_address': ['111 E Chatham St', 'Cary, NC 27511']}",19196785300,(919) 678-5300
573,1892401,4092017674,SERGIO'S PIZZA,7440 LOUISBURG RD ,RALEIGH,27616,19198763116,2017-08-31,5677,-78.53977,35.87454018,M,xrhet2jpWESz_f2dTbEJpA,sergios-pizza-raleigh,Sergio's Pizza,https://s3-media0.fl.yelpcdn.com/bphoto/tyvbvu1rwuVNio_jsWVM9g/o.jpg,False,https://www.yelp.com/biz/sergios-pizza-raleigh?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,134,"[{'alias': 'pizza', 'title': 'Pizza'}]",3.5,"{'latitude': 35.874538, 'longitude': -78.539772}",['delivery'],$,"{'address1': '7440 Louisburg Rd', 'address2': '', 'address3': '', 'city': 'Raleigh', 'zip_code': '27616', 'country': 'US', 'state': 'NC', 'display_address': ['7440 Louisburg Rd', 'Raleigh, NC 27616']}",19198763116,(919) 876-3116
575,1892402,4092017679,Firehouse Subs #1052,413 Village Walk DR ,HOLLY SPRINGS,27540,19842252550,2017-09-18,5685,-78.83774133,35.64081684,M,uhDX2IY3uGNgFnEP462Y2g,firehouse-subs-holly-springs,Firehouse Subs,https://s3-media0.fl.yelpcdn.com/bphoto/w_0C8EVOpz6Tra1FRztW3w/o.jpg,False,https://www.yelp.com/biz/firehouse-subs-holly-springs?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,12,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",3.5,"{'latitude': 35.640864, 'longitude': -78.8374}","['pickup', 'delivery']",,"{'address1': '413 Village Walk Dr', 'address2': None, 'address3': None, 'city': 'Holly Springs', 'zip_code': '27540', 'country': 'US', 'state': 'NC', 'display_address': ['413 Village Walk Dr', 'Holly Springs, NC 27540']}",19842252550,(984) 225-2550
576,1892404,4092013915,Bonefish Grill,2060 Renaissance Park Pl,CARY,27513,19196771347,2003-10-22,5706,-78.77115656,35.82699882,M,NW3WC_PCdahNJz4w8iV1wQ,bonefish-grill-cary,Bonefish Grill,https://s3-media0.fl.yelpcdn.com/bphoto/gk0DLAoCWUeZZJFDBZemKw/o.jpg,False,https://www.yelp.com/biz/bonefish-grill-cary?adjust_creative=V-BDYWq-guFwBbH8xNXBEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=V-BDYWq-guFwBbH8xNXBEg,245,"[{'alias': 'seafood', 'title': 'Seafood'}]",3.5,"{'latitude': 35.8275563581887, 'longitude': -78.7716293334961}",[],$$,"{'address1': '2060 Renaissance Park Pl', 'address2': '', 'address3': '', 'city': 'Cary', 'zip_code': '27513', 'country': 'US', 'state': 'NC', 'display_address': ['2060 Renaissance Park Pl', 'Cary, NC 27513']}",19196771347,(919) 677-1347
