,OBJECTID,HSISID,NAME,ADDRESS1,CITY,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,PERMITID,X,Y,GEOCODESTATUS
1005,1892535,4092014444,Taco Bell #22798,2207 S MAIN ST ,WAKE FOREST,27587,(919) 554-4924,2005-12-05,6911,-78.53614532,35.94669513,M
1006,1892536,4092017487,JOHNNY'S PIZZA,96 CORNERSTONE DR ,CARY,27519,(919) 460-5566,2016-12-02,6919,-78.85232757,35.79108879,M
1007,1892537,4092015787,STARBUCKS NORTH HILLS CENTER #9789,4160 MAIN AT NORTH HILLS ST ,RALEIGH,27609,(919) 420-0514,2011-08-12,6920,-78.64323049,35.83718561,M
1008,1892538,4092013994,Beansprout Chinese Restaurant,3721 Hillsborough St ,RALEIGH,27607,(919) 755-0554,2004-02-23,6936,-78.68759244,35.79393832,M
1010,1892540,4092016433,Sticky Rice,927 DURHAM RD ,WAKE FOREST,27587,(919) 554-8189,2013-05-30,6944,-78.54094643,35.97615047,M
1012,1892542,4092017477,HARRIS TEETER #283 STARBUCKS,8101 FAYETTEVILLE RD ,FUQUAY VARINA,27526,(919) 772-0241,2016-12-09,6921,0.0,0.0,U
1013,1892543,4092017491,MOE'S SOUTHWEST GRILL #100789,5020 ARCO ST ,CARY,27519,(919) 230-1720,2016-12-16,6955,-78.88191924,35.83347908,M
1014,1892544,4092018601,Wok Haus,2526 HILLSBOROUGH ST ,RALEIGH,27607,(919) 434-8679,2021-04-07,6958,-78.6692269,35.78835156,M
1018,1892548,4092011561,Boston Market,9500 STRICKLAND RD,RALEIGH,27615-1935,(919) 676-7609,1994-09-22,6980,-78.65420911,35.90168214,M
1020,1892550,4092015798,Bojangles,3025 Winston Hill DR ,CARY,27519,(919) 460-9224,2010-10-21,6997,-78.84654757,35.78948112,M
1021,1892551,4092017309,BOTTLEDOG BITES & BREWS,8306 CHAPEL HILL  RD ,CARY,27513,(919) 694-5377,2016-09-08,7001,-78.77617181,35.79224815,M
1022,1892552,4092014858,Moe's Southwest Grill #683,280 Meeting ST ,CARY,27518,(919) 854-1111,2007-04-30,7013,-78.74478781,35.75666346,M
1023,1892553,4092018069,Hibachi 88,6213 Rock Quarry RD ,Raleigh,27610,(919) 662-8899,2019-03-11,7014,-78.54796019,35.72312495,M
1024,1892554,4092018597,Jersey Mike's Subs #3002,5910 Duraleigh RD ,RALEIGH,27612,(919) 787-2540,2021-03-26,7017,-78.7119967,35.8587201,M
1025,1892555,4092017940,MCDONALDS #3259,869 SE MAYNARD RD ,CARY,27511-4205,(919) 467-3883,2018-09-28,7018,-78.76464709,35.7763081,M
1027,1892557,4092018351,Tropical Smoothie Cafe,817 Bass Pro LN ,CARY,27513,(919) 378-9333,2020-04-22,7025,-78.77007317,35.83116175,M
1028,1892558,4092016990,CAROLINA ALE HOUSE,400 CONSERVATION RD ,GARNER,27529,(919) 772-2646,2015-07-16,7041,-78.58112683,35.69648845,M
1032,1892562,4092016126,PANERA BREAD #1650,1001 BEAVER CREEK COMMONS DR ,APEX,27502,(919) 589-0026,2012-03-27,7064,-78.87238568,35.74374477,M
1033,1892563,4092016641,DeM0'S PIZZERIA & DELI,222-121 GLENWOOD AVE ,RALEIGH,27613,(919) 754-1050,2014-03-13,7026,-78.64733509,35.78392897,M
1036,1892566,4092013346,BROOKDALE OF NORTH RALEIGH FOOD SERVICE,1200 Carlos Dr ,RALEIGH,27609,(919) 334-2222,2001-07-05,7078,-78.61847832,35.86397289,M
1037,1892567,4092018558,Mon Macaron,111 SEABOARD AVE ,RALEIGH,27604,(919) 439-5737,2021-03-15,7133,-78.64016785,35.78860778,M
1038,1892568,4092015765,WAFFLE HOUSE #1901,1051 DURHAM  RD ,WAKE FOREST,27587,(919) 554-2501,2011-07-07,7134,-78.55120145,35.97391774,M
1039,1892569,4092017850,SEQIRUS CAFE,475 GREEN OAKS PKY ,HOLLY SPRINGS,27540,(919) 577-3810,2018-05-21,7135,-78.86718816,35.65081273,M
1043,1892573,4092016545,GONZA TACOS Y TEQUILA,1849 S MAIN ST ,WAKE FOREST,27587,(919) 205-2500,2013-11-08,7144,-78.52626448,35.95102854,M
1045,1892575,4092015636,WALTONWOOD AT CARY DINING,750 SE CARY PKY ,CARY,27511,(919) 460-7330,2010-05-14,7150,-78.77482013,35.74902725,M
1046,1892576,4092016375,SUSHI ONE,8470 HONEYCUTT RD ,RALEIGH,27615,(919) 615-4024,2013-02-13,7153,-78.62166097,35.89510574,M
1047,1892577,4092014571,Moe's Southwest Grill,1406 E Broad ST,FUQUAY VARINA,27526,(919) 557-5507,2006-04-26,7194,-78.77524481,35.59427198,M
1050,1892580,4092013354,Abbotswood Assisted Living Dining Services,7900 CREEDMOOR RD,RALEIGH,27613-4382,(919) 847-3202,2001-07-06,7211,-78.67950967,35.89545367,M
1051,1892581,4092017521,MCDONALDS #13159,1725 New Hope Church Rd,RALEIGH,27609,(919) 713-0903,2017-02-22,7230,-78.60826495,35.83722719,M
1052,1892582,4092018259,Las Marias Tacos Y Pupusas Restaurant ,1600 Ronald DR ,RALEIGH,27609,(919) 977-8149,2019-12-10,7292,-78.61019076,35.83816392,M
1055,1892585,4092018172,Jersey Boy Subs #001,943 E BROAD ST ,FUQUAY VARINA,27526,(919) 552-8255,2019-09-06,7334,-78.78267467,35.59365948,M
1057,1892587,4092018554,Your Pie Pizza,4233 Corners PKY ,RALEIGH,27617,(919) 957-0077,2021-03-10,7345,-78.78791806,35.91890974,M
1058,1892588,4092018127,The Exchange Cafe,6933 LOUIS STEPHENS DR,MORRISVILLE,27560,(919) 623-6072,2019-07-15,7350,-78.8872285,35.86296634,M
1060,1892590,4092014324,Wang's Kitchen,3631 New Bern AVE ,RALEIGH,27610,(919) 212-8805,2005-05-06,7357,-78.57923704,35.79885313,M
1063,1892593,4092010686,Saint Mary's School Dining ,900 HILLSBOROUGH ST ,RALEIGH,27603-1610,(919) 424-4093,1991-03-19,7408,-78.65261406,35.78272295,M
1065,1892595,4092017881,Daddy D's BBQ,1526 Broad ST ,FUQUAY-VARINA,27526,(919) 552-6464,2018-06-20,7398,-78.80365428,35.60369755,T
1067,1892597,4092017259,STARBUCKS # 26652,212 HINTON OAKS BLVD ,KNIGHTDALE,27545,(919) 801-5181,2016-07-19,7426,-78.512594,35.79763536,M
1068,1892598,4092018197,Sweetberry Bowls Holly Springs,150 W HOLLY SPRINGS RD ,HOLLY SPRINGS,27540,,2019-10-11,7442,-78.8358869,35.65576179,M
1070,1892600,4092014456,#1 CHINA,764 W Williams ST ,APEX,27502,(919) 362-6887,2005-12-27,7448,-78.86276064,35.73803218,M
1071,1892601,4092014458,Bojangles #36,8680 Glenwood AVE ,RALEIGH,27612,(919) 277-0600,2005-12-05,7449,-78.74320443,35.88674606,M
1073,1892603,4092017777,Sushi Nine,3812 Western BLVD ,RALEIGH,27606,(919) 615-3100,2018-01-08,7521,-78.68935727,35.7853026,M
1074,1892604,4092014353,NYBD III,2050 Kildaire Farm RD ,CARY,27518,(919) 851-9050,2005-07-13,7531,-78.78068669,35.73567522,M
1076,1892606,4092018542,HEYDAY BREWING,5301 TIN ROOF WAY,RALEIGH,27616-6734,(919) 351-6668,2021-02-23,7547,-78.53898399,35.86307691,M
1079,1892609,4092017746,Burger Fi,2052 RENAISSANCE PARK PL ,CARY,27513,(919) 659-8700,2017-11-29,7578,-78.77115656,35.82699882,M
1080,1892610,4092018099,Layered Croissanterie,911 N WEST ST,RALEIGH,27603-2576,(984) 200-1200,2019-05-15,7580,-78.64438198,35.79144303,M
1082,1892612,4092017555,NEW CHINA EXPRESS,3501 Capital BLVD ,RALEIGH,27604-3366,(919) 878-9288,2017-03-16,7588,-78.58692952,35.82783582,M
1083,1892613,4092014704,Red Robin #571,1431 Beaver Creek Commons ,APEX,27502,(919) 363-8599,2006-10-09,7582,-78.8826304,35.7473372,M
1084,1892614,4092015990,PORT CITY JAVA TEXTILES,1000  MAIN CAMPUS  DR ,RALEIGH,27695,(919) 513-0823,2011-09-08,7591,-78.67967966,35.76286971,M
1085,1892615,4092014336,Bonefish Grill,4421 Six Forks RD ,RALEIGH,27609,(919) 782-5127,2005-06-24,7604,-78.64349886,35.84017418,M
1088,1892618,4092017874,Jasmin & Olivz,6679 Falls of Neuse RD ,RALEIGH,27615,(919) 803-2229,2018-07-06,7631,-78.62444941,35.87396756,M
1090,1892620,4092018394,Pho Oxtail,3901 Captial  BLVD ,RALEIGH,27604,(919) 307-4008,2020-07-01,7634,-78.58517624,35.83498992,M
1091,1892621,4092015850,FLAME KABOB,7961 SKYLAND RIDGE PKY ,RALEIGH,27617,(919) 596-2525,2011-01-09,7668,-78.7822603,35.91399796,M
1092,1892622,4092018492,Bongiorno & Son,8450-106 HONEYCUTT RD ,RALEIGH,27615,(310) 625-8489,2020-12-02,7635,-78.62255458,35.89538596,M
1093,1892623,4092018400,Mookies NY Deli,1010 TRYON VILLAGE DR,CARY,27518-7193,(919) 900-7770,2020-07-08,7679,-78.7453538,35.74635942,M
1094,1892624,4092017213,PANERA BREAD #1869,15 CABELA DR ,GARNER,27529,(919) 334-5762,2016-04-20,7686,-78.58701959,35.69767128,M
1096,1892626,4092014398,Skipper's Fish Fry and Market,1001 E Williams ST ,APEX,27502,(919) 303-2400,2005-09-30,7692,-78.84350423,35.7211123,M
1097,1892627,4092014425,Greek Fiesta at Crossroads,319 Crossroads BLVD ,Cary,27518,(919) 851-7995,2005-10-25,7695,-78.73871452,35.76064286,M
1099,1892629,4092018674,Burger King #8513,1828 ROCK QUARRY RD ,RALEIGH,27610,,2021-07-01,7706,-78.61293992,35.75475311,M
1100,1892630,4092017214,HIMALAYAN RANGE,910 NE MAYNARD RD ,CARY,27513,(919) 378-9886,2016-04-13,7708,-78.76838489,35.80043169,M
1101,1892631,4092015361,MELLOW MUSHROOM,2125 S MAIN ST ,WAKE FOREST,27587,(919) 556-8884,2009-03-24,7710,-78.53549582,35.9471019,M
1103,1892633,4092010350,Harris Teeter #289 Deli ,2603 GLENWOOD AVE ,RALEIGH,27608-1044,(919) 787-5526,1991-03-18,7719,-78.66059857,35.81550372,M
1106,1892636,4092011839,Jersey Mikes,962-D Airport BLVD ,MORRISVILLE,27560,(919) 319-0039,1996-03-05,7714,-78.82129441,35.85834068,M
1107,1892637,4092017806,Penn Station East Coast Subs,3001 Hillsborough ST ,RALEIGH,27607,(984) 232-8444,2018-03-06,7748,-78.67702669,35.78909106,M
1108,1892638,4092017955,First Citizens Operations Center Cafeteria,100  E Tryon  RD ,RALEIGH,27603,(919) 716-8357,2018-10-08,7749,-78.63926247,35.72823902,M
1109,1892639,4092018519,NCMA Sip Coffee Bar,2110 BLUE RIDGE RD ,RALEIGH,27607,(919) 696-0236,2021-01-21,7758,-78.72638982,35.81625023,M
1113,1892643,4092018080,Mellow Mushroom,9600 Brier Creek PKY ,RALEIGH,27617,,2019-03-21,7762,-78.80178075,35.90341066,M
1114,1892644,4092017436,SUBWAY #40395,7016 GB ALFORD HWY ,HOLLY SPRINGS,27540,(919) 467-4612,2016-10-28,7764,-78.83404581,35.6363532,M
1115,1892645,4092016380,HIBERNIAN PUB & RESTAURANT,8021 FALLS OF NEUSE RD ,RALEIGH,27615,(919) 803-0290,2013-03-01,7784,-78.62452714,35.8940443,M
1116,1892646,4092018396,Tropical Smoothie Cafe,1264 W WILLIAMS ST,APEX,27502,(919) 355-2522,2020-07-02,7788,-78.87327975,35.74703535,M
1121,1892651,4092011620,Legislative Bldg Snack Bar,16 W Jones St ,RALEIGH,27601-1030,,1995-01-10,7826,-78.63894874,35.78321051,M
1123,1892653,4092017745,FARINA NEIGHBORHOOD ITALIAN,8450 HONEYCUTT RD ,RALEIGH,27615,(919) 890-0143,2017-11-29,7834,-78.62166097,35.89510574,M
1124,1892654,4092016981,NEUSE RIVER BREWING COMPANY,518-100 PERSHING RD ,RALEIGH,27608,(985) 232-8479,2015-07-22,7828,-78.632252,35.80416736,M
1125,1892655,4092017804,Everest Kitchen,25 N Main ST ,WENDELL,27591,(919) 374-7049,2018-03-06,7837,-78.37019885,35.78157066,M
1126,1892656,4092018286,BAGELS & BAO,2400 JOHN BRANTLEY BLVD ,MORRISVILLE,27560,(919) 840-4475,2020-01-03,7841,-78.78941437,35.8696795,M
1127,1892657,4092018129,NoRa Cafe,12333 STRICKLAND RD ,RALEIGH,27613,(919) 232-8321,2019-06-17,7842,-78.7027985,35.90556189,M
1129,1892659,4092018294,Chick-Fil-A #4239,1010 FORESTVILLE RD,WAKE FOREST,27587,(919) 554-6995,2020-01-15,7845,-78.50659937,35.94595609,M
1130,1892660,4092017630,COCO BONGO,2400 HILLSBOROUGH ST ,RALEIGH,27607,(984) 242-0898,2017-06-14,7846,-78.66706468,35.78779177,M
1131,1892661,4092010301,Goodberry's Creamery,1146 KILDAIRE FARM RD,CARY,27511-4583,(919) 467-2386,1991-05-03,7866,-78.78352136,35.76590978,M
1132,1892662,4092017724,Glory Days Grill,1413 Kelly RD ,Apex,27502,(919) 434-3726,2017-11-08,7871,-78.89379203,35.73782787,M
1133,1892663,4092010845,42nd St Oyster Bar,508 W JONES ST ,RALEIGH,27603-1429,(919) 831-2811,1991-04-25,7876,-78.6463342,35.78313026,M
1136,1892666,4092016524,ARANDAS MEXICAN CUISINE,5460 APEX PEAKWAY ,APEX,27502,(919) 362-7363,2013-10-09,7893,-78.86537597,35.73683859,M
1137,1892667,4092018641,Dunkin #359813,12612 Capital  BLVD ,WAKE FOREST,27587,(984) 272-7428,2021-06-04,7915,-78.5310084,35.98892032,M
1138,1892668,4092016829,BLAZE PIZZA #1062,1024 MARKET CENTER DRIVE,MORRISVILLE,27560,(919) 465-9590,2014-12-11,7919,-78.81800343,35.80772157,M
1140,1892670,4092017025,THE BERKELEY CAFE,217 W MARTIN ST ,RALEIGH,27601,(919) 828-9190,2015-09-21,7928,-78.64280742,35.77679382,M
1141,1892671,4092018717,Chick-fil-A #01963,8661  Six Forks RD ,RALEIGH,27615,(919) 848-6715,2021-10-04,7929,-78.65140772,35.89807227,M
1142,1892672,4092016757,LEESVILLE TAP ROOM,13200 STRICKLAND  RD ,RALEIGH,27613,(919) 870-1515,2014-09-15,7943,-78.72593809,35.90878313,M
1143,1892673,4092018390,CHUTNEYS,4121 Davis DR ,MORRISVILLE,27560,(919) 377-1029,2020-06-25,7948,-78.85811603,35.8356265,M
1144,1892674,4092018628,Bullseye Grill,6501 Mount Herman RD ,RALEIGH,27617,(984) 200-5336,2021-05-19,7950,-78.76699446,35.90868392,M
1145,1892675,4092018640,IHOP #4408,3009 Capital BLVD ,RALEIGH,27604-3333,(984) 302-3055,2021-06-03,7952,-78.59245693,35.82124227,M
1146,1892676,4092015036,Jimmy John's #993,5011-E Falls of Neuse RD ,RALEIGH,27609,(919) 872-3383,2007-12-21,7938,-78.61476945,35.84934215,M
1147,1892677,4092015328,KOBE HIBACHI & SUSHI,515 N MAIN ST ,HOLLY SPRINGS,27540,(919) 557-1437,2009-01-29,7953,-78.83687096,35.65966057,M
1148,1892678,4092018300,AC Hotel Raleigh North Hills Level 7,101 PARK AT NORTH HILLS ST ,RALEIGH,27609,(919) 571-2500,2020-01-24,7957,-78.64018999,35.83817045,M
1149,1892679,4092014423,Nil's Cafe,513 E Broad ST ,FUQUAY-VARINA,27526,(919) 567-0887,2005-11-10,7965,-78.7940251,35.59342774,M
1152,1892682,4092018024,Rockin Roll Sushi Express,9650 Strickland RD ,RALEIGH,27615,(919) 803-7926,2019-01-04,7973,-78.65677159,35.90420107,T
1154,1892684,4092016333,BAD DADDY'S BURGER BAR,111 SEABOARD AVE ,RALEIGH,27604,(919) 747-9163,2012-12-27,7978,-78.64016785,35.78860778,M
1155,1892685,4092016599,SMITHFIELD'S CHICKEN N BAR-B-QUE,4000 JONES SAUSAGE RD ,GARNER,27529,(919) 779-0095,2014-01-03,7979,-78.58070292,35.72647997,M
1156,1892686,4092018037,Sophie's Grill and Bar,2734 NC 55 ,CARY,27519,(919) 355-2377,2019-01-24,7971,-78.87104808,35.78541877,M
1157,1892687,4092018171,Harris Teeter #494 Deli,1273 NW MAYNARD RD,CARY,27513,,2019-08-26,7984,-78.81193845,35.78534681,M
1159,1892689,4092017558,BURGER KING #8018,313 COLONADES WAY ,CARY,27511,(919) 233-8681,2017-03-21,8027,-78.77901138,35.73967763,M
1160,1892690,4092012848,Taco Bell #020165,2101 WALNUT ST,CARY,27511-9207,(919) 852-0680,1998-12-15,8032,-78.74089813,35.75662681,M
1161,1892691,4092016496,BANANA LEAF,1026  RYAN RD ,CARY,27511,(919) 468-9958,2013-09-20,8045,-78.76677132,35.77674815,M
1164,1892694,4092018511,Another Broken Egg,160 Park at North Hills ST ,RALEIGH,27609,(919) 881-2571,2020-12-22,8079,-78.63811885,35.83636262,M
1165,1892695,4092017303,SHEETZ #607,40 CABELA DR ,GARNER,27529,(919) 662-1390,2016-08-16,8088,-78.58532113,35.69803233,M
1167,1892697,4092015008,IHOP #3181,1150 Beaver Creek Commons  Dr ,APEX,27502,(919) 387-8147,2007-11-14,8104,-78.87654743,35.74676581,M
1169,1892699,4092018650,Jersey Mike's #3091,2345 Timber  DR ,GARNER,27529,(919) 779-7827,2021-06-08,8114,-78.64123211,35.70222176,M
1170,1892700,4092016926,DEATH AND TAXES,105 W HARGETT ST ,RALEIGH,27601,(984) 242-0218,2015-04-08,8115,-78.6404497,35.77817353,M
1172,1892702,4092018666,Burger King #2983,6500 Glenwood AVE ,RALEIGH,27612,(919) 322-2199,2021-06-29,8127,-78.70639613,35.85939254,M
1174,1892704,4092015649,CAPITAL CLUB 16 RESTAURANT & BAR,16 W MARTIN  ST ,RALEIGH,27601,(919) 747-9345,2010-06-10,8147,-78.64002343,35.77714251,M
1175,1892705,4092017833,TOWER INDIA,144 MORRISVILLE SQUARE WAY ,MORRISVILLE,27560-5703,(919) 465-2326,2018-05-02,8155,-78.82897679,35.81951783,M
1176,1892706,4092017754,Red Bowl Asian Bistro,6360 PLANTATION CENTER  DR ,RALEIGH,27616,(919) 790-9222,2017-12-14,8156,-78.58237548,35.87315637,M
1177,1892707,4092014662,Starbucks #9840,1107 Walnut ST ,CARY ,27511,(919) 468-9908,2006-08-18,8157,-78.76025493,35.77377018,M
1178,1892708,4092017460,THE MAC HOUSE,14460 167 FALLS OF NEUSE RD ,RALEIGH,27614,(919) 263-8116,2016-11-07,8120,0.0,0.0,U
1179,1892709,4092017018,FOOD LION #1338 DELI,620 LAURA DUNCAN RD ,APEX,27502,(919) 362-3904,2015-09-01,8175,-78.84201223,35.73509961,M
1181,1892711,4092017552,STARBUCKS #29679,2815 ROGERS RD ,WAKE FOREST,27587,(919) 971-0664,2017-03-03,8180,-78.52502096,35.95329016,M
1182,1892712,4092018261,Sheetz #675,101 KUMAR CT,RALEIGH,27606,(919) 879-8486,2019-12-10,8150,-78.73642667,35.74608176,M
1183,1892713,4092017660,TASTE OF CHINA,14460 FALLS OF NEUSE RD ,RALEIGH,27614,(919) 488-3737,2017-08-11,8181,-78.54362008,35.94386602,M
1185,1892715,4092017030,CHIPOTLE 2485,204 CROSSROADS BLVD ,CARY,27518,(919) 233-8242,2015-09-14,8184,-78.74109738,35.76025037,M
1186,1892716,4092015057,La Cocina De Mama Greta,1604-101 N Market DR ,RALEIGH,27609,(919) 872-5360,2008-02-01,8188,-78.61053293,35.84160872,M
1188,1892718,4092017907,Fresko Greek Kitchen,2310 Bale ST ,RALEIGH,27608,(919) 673-3974,2018-08-21,8202,-78.62748278,35.81292611,M
1191,1892721,4092017470,HARRIS TEETER #118 STARBUCKS,5277 SUNSET LAKE RD ,HOLLY SPRINGS,27540,(919) 363-3059,2016-12-02,8229,-78.79652372,35.66680054,M
1192,1892722,4092018529,NC Museum of Art Exhibit Cafe,2110 BLUE RIDGE RD ,RALEIGH,27607-6433,(919) 696-0236,2021-02-10,8232,-78.72638982,35.81625023,M
1193,1892723,4092017948,Holiday Inn Express & Suites Foodservice,10450 Little Briar Creek LN ,RALEIGH,27617,(919) 748-4801,2018-08-22,8234,-78.78894753,35.91427105,M
1194,1892724,4092016773,CHIPOTLE #2066,9504 STRICKLAND ROAD,RALEIGH,27615,(919) 322-3259,2014-09-30,8241,-78.65494139,35.90183768,M
1195,1892725,4092018699,WCC Cafe,111 Competition DR ,RALEIGH,27560,(984) 465-4579,2021-08-27,8240,0.0,0.0,U
1196,1892726,4092014856,Schiano's Pizza Pasta & Grill #2,13220 Strickland  RD ,RALEIGH,27613,(919) 847-3238,2007-04-27,8242,-78.72593809,35.90878313,M
1198,1892728,4092016789,KINGS BOWL,141 PARK AT NORTH HILLS STREET,RALEIGH,27609,(919) 600-5700,2014-10-17,8253,-78.63884173,35.83739486,M
1199,1892729,4092016632,Driftwood Cantina,8460 HONEYCUTT RD ,RALEIGH,27615,(919) 977-8360,2014-02-24,8254,-78.62166097,35.89510574,M
1200,1892730,4092017645,Harris Teeter #304 Wine Bar,4221 Corners PKY ,RALEIGH,27616,(919) 596-5399,2017-07-13,8264,-78.78791806,35.91890974,M
1201,1892731,4092015690,PANDA WOK,8521  CANTILEVER WAY ,RALEIGH,27613,(919) 792-2588,2010-08-12,8277,-78.73779144,35.88567273,M
1202,1892732,4092013943,St. Raphael Hall Foodservice,5801 Falls Of Neuse Rd ,RALEIGH,27609,(919) 865-5705,2003-12-01,8280,-78.61925176,35.85949781,M
1204,1892734,4092018110,Himalayan Grill and Bar,1207 KILDAIRE FARM RD,CARY,27511-7704,(919) 377-0117,2019-06-06,8293,-78.78219496,35.76380548,M
1206,1892736,4092010708,Subway,4112 PLEASANT VALLEY RD ,RALEIGH,27612-6256,(919) 787-7981,1991-05-13,8300,-78.70472608,35.86043731,M
1208,1892738,4092016554,VINNIE'S STEAK HOUSE & TAVERN,7440 SIX FORKS RD ,RALEIGH,27615,(919) 847-7319,2013-11-18,8308,-78.64526778,35.88157372,M
1209,1892739,4092017938,SoHot,1937 High House RD ,CARY,27519,(919) 694-5510,2018-09-20,8309,-78.84865444,35.78921622,M
1210,1892740,4092017936,McDonald's #16917,7991 Fayetteville RD ,RALEIGH,27605,(919) 772-4850,2018-09-12,8310,-78.69868308,35.66510467,M
1211,1892741,4092018270,Seol Grille,2310 WALNUT ST,CARY,27518,(984) 241-9112,2019-12-16,8318,-78.74212537,35.75337653,M
1212,1892742,4092018695,Rosati's Pizza Morrisville ,3605 Davis DR ,MORRISVILLE,27560,(919) 380-7000,2021-08-13,8323,-78.84976245,35.82130357,M
1214,1892744,4092015076,Yoho Asian Bistro,8204-106 Tryon Woods DR ,CARY,27511,(919) 859-8081,2008-02-25,8324,-78.74169613,35.74700826,M
1215,1892745,4092010264,FIRST PRESBYTERIAN CHURCH,120 W HARGET ST ,RALEIGH,27601-1344,(919) 832-9929,1991-04-02,8332,-78.64072997,35.77902413,M
1216,1892746,4092017119,SPRING ROLLS,5433-280 WADE PARK BLVD ,RALEIGH,27607,(919) 803-1118,2015-12-16,8326,-78.72965578,35.80690133,M
1217,1892747,4092010485,Mecca Restaurant,13 E MARTIN ST ,RALEIGH,27601-1841,(919) 832-5714,1991-04-02,8335,-78.63864258,35.77709453,M
1221,1892751,4092018485,Refuel 103,1205 NE Maynard RD ,CARY,27513-4175,(919) 466-0308,2020-11-17,8351,-78.76291117,35.79469038,M
1222,1892752,4092018716,Wine & Beer 101 Gastropub,1228 Heritage Link DR ,WAKE FOREST,27587,(703) 627-0504,2021-10-04,8352,-78.50262454,35.94544167,M
1223,1892753,4092018725,Yaba Mediterranean,9424  Falls of Neuse  RD ,RALEIGH,27615,(919) 322-2807,2021-10-21,8353,-78.60286042,35.90143714,M
1224,1892754,4092016887,COFFEE & (METLIFE 2),201 METLIFE WAY,CARY,27513,(919) 538-7017,2015-02-23,8361,-78.79975563,35.83005175,M
1226,1892756,4092017442,PNC CLUB 204-A,1400 EDWARDS MILL RD ,RALEIGH,27607,(919) 861-2300,2016-09-28,8371,-78.7229363,35.8032419,M
1227,1892757,4092018303,The Parkway Tavern,982 HIGH HOUSE RD,CARY,27513,(919) 234-0018,2020-01-27,8373,-78.82691458,35.788417,M
1228,1892758,4092011831,Taco Bell #3279,3821 WESTERN BLVD ,RALEIGH,27606-1934,(919) 851-9034,1995-12-08,8383,-78.68953284,35.78425136,M
1230,1892760,4092017732,PAPAS PIZZA AND SUBS,7713 LEAD MINE RD ,RALEIGH,27615,(919) 847-8777,2017-11-20,8407,-78.66044244,35.88617531,T
1232,1892762,4092018101,Cava Grill #087,2001 WALNUT ST,CARY,27518,,2019-05-14,8409,-78.74142861,35.75880896,M
1233,1892763,4092016932,TAIPEI CAFE,9825-G CHAPEL HILL RD ,MORRISVILLE,27560,(919) 380-8568,2015-05-29,8374,-78.81682593,35.81118245,M
1234,1892764,4092014085,HOOTERS,1001 CLAREN CIR ,MORRISVILLE,27560,(919) 469-2900,2004-07-13,8424,-78.82295551,35.85640624,M
1235,1892765,4092016719,Firehouse Subs #917,1303 N MAIN ST ,FUQUAY-VARINA,27526,(919) 762-5328,2014-07-21,8427,-78.77762782,35.59227955,M
1236,1892766,4092013462,Paolo's,101 - 500 Keybridge St,MORRISVILLE,27560,(919) 678-9030,2001-11-26,8395,0.0,0.0,U
1237,1892767,4092015653,BRIGS AT TRYON VILLAGE ,1040 TRYON VILLAGE DR ,CARY,27518,(919) 859-2151,2010-05-04,8433,-78.74469033,35.7463126,M
1239,1892769,4092018444,Burrito Shak,2982 KILDAIRE FARM RD,CARY,27518,(919) 267-6772,2020-09-15,8446,-78.78870146,35.71809037,M
1240,1892770,4092016638,TARGET CAFE #2784,7129 OKELLY CHAPEL RD ,CARY,27519,(919) 674-2214,2014-03-05,8451,-78.88560741,35.84442227,M
1242,1892772,4092017996,Applebee's Grill and Bar,11805 Retail DR ,WAKE FOREST,27587-7352,(919) 488-0101,2018-12-12,8460,-78.54257336,35.96855168,M
1243,1892773,4092018607,Raleigh Cheesy,1460 Chapel Ridge RD ,APEX,27502,,2021-01-21,8465,-78.88889601,35.73807119,M
1245,1892775,4092010827,Winston's Grille,6401 FALLS OF NEUSE RD ,RALEIGH,27615-6812,(919) 790-0700,1991-05-08,8481,-78.62163029,35.86964663,M
1246,1892776,4092016062,MCDONALD'S #11646,7141 KNIGHTDALE  BLVD ,KNIGHTDALE,27545,(919) 266-6700,2011-12-09,8488,-78.48855466,35.79877712,M
1247,1892777,4092017870,Hibachi Blue,1500 VILLAGE MARKET PL ,MORRISVILLE,27560,(919) 462-9899,2018-07-02,8491,-78.81676023,35.80454378,M
1251,1892781,4092014123,New Wangs Kitchen,712 Laura Duncan RD ,APEX,27502,(919) 363-8030,2004-08-27,8507,-78.84201223,35.73509961,M
1252,1892782,4092014176,Los Cuates Mexican Restaurant,4524 Old Wake Forest RD ,RALEIGH,27609,(919) 872-6012,2004-11-12,8510,-78.6099575,35.84195384,M
1253,1892783,4092014182,NY Pizza,634 Holly Spring RD,HOLLY SPRINGS,27540,(919) 567-0505,2004-11-05,8511,-78.82480349,35.65381034,M
1254,1892784,4092018567,Wendy's #1985,1374 N Main ST ,FUQUAY-VARINA,27526,(919) 557-0139,2021-03-24,8528,-78.77582077,35.59164945,M
1255,1892785,4092014973,Sonic Drive-In #3975,700 Cayman AVE ,HOLLY SPRINGS,27540,(919) 567-2555,2007-08-01,8543,-78.83534808,35.66114172,M
1256,1892786,4092016645,SHEETZ #536,4660 MILLBROOK GREEN DR ,RALEIGH,27604,(919) 307-8433,2014-03-06,8547,-78.58749866,35.84885672,M
1259,1892789,4092018363,Kwench Juice Cafe ,9660-142 Falls of Neuse RD ,RALEIGH,27615,(919) 803-0104,2020-05-07,8549,-78.60229361,35.90546933,M
